time,angle1,angle2,target1,target2,speed1,speed2,error
0.05,35.91,0.00,35.91,0.00,0.00,0.00,16.00
0.10,35.91,0.00,35.91,0.00,0.00,0.00,16.00
0.15,35.91,0.00,35.91,0.00,0.00,0.00,16.00
0.20,35.91,0.00,35.91,0.00,0.00,0.00,16.00
0.25,35.91,0.00,35.91,0.00,0.00,0.00,16.00
0.30,35.91,0.00,35.91,0.00,0.00,0.00,16.00
0.35,35.91,0.00,35.91,0.00,0.00,0.00,16.00
0.40,35.91,0.00,35.91,0.00,0.00,0.00,16.00
0.45,35.91,0.00,35.91,0.00,0.00,0.00,16.00
0.50,35.91,0.00,35.91,0.00,0.00,0.00,16.00
0.55,35.66,0.25,-69.41,43.76,7.50,7.50,414.15
0.60,35.03,0.88,-69.41,43.76,15.00,15.00,412.66
0.65,34.41,1.50,-69.41,43.76,20.00,20.00,411.16
0.70,32.66,3.25,-69.41,43.76,30.00,30.00,406.90
0.75,30.91,5.00,-69.41,43.76,37.50,37.50,402.56
0.80,28.78,7.13,-69.41,43.76,45.00,45.00,397.18
0.85,26.28,9.63,-69.41,43.76,52.50,52.50,390.68
0.90,23.41,12.50,-69.41,43.76,60.00,60.00,383.01
0.95,20.16,15.75,-69.41,43.76,67.50,67.50,374.07
1.00,16.53,19.38,-69.41,43.76,75.01,75.01,363.80
1.05,12.53,23.38,-69.41,43.76,82.51,82.51,352.11
1.10,8.16,27.25,-69.41,43.76,90.01,75.01,338.42
1.15,3.41,30.75,-69.41,43.76,97.51,67.50,322.46
1.20,-1.72,33.88,-69.41,43.76,105.01,60.00,304.18
1.25,-7.22,36.63,-69.41,43.76,112.51,52.50,283.52
1.30,-13.10,39.01,-69.41,43.76,120.01,45.00,260.43
1.35,-19.35,41.01,-69.41,43.76,127.51,37.50,234.81
1.40,-25.47,42.63,-69.41,43.76,120.01,30.00,208.89
1.45,-31.22,43.88,-69.41,43.76,112.51,22.50,183.87
1.50,-36.60,43.76,-69.41,43.76,105.01,0.00,158.63
1.55,-41.60,43.76,-69.41,43.76,97.51,0.00,134.97
1.60,-46.23,43.76,-69.41,43.76,90.01,0.00,112.86
1.65,-50.48,43.76,-69.41,43.76,82.51,0.00,92.37
1.70,-54.35,43.76,-69.41,43.76,75.01,0.00,73.59
1.75,-57.85,43.76,-69.41,43.76,67.51,0.00,56.54
1.80,-60.98,43.76,-69.41,43.76,60.00,0.00,41.28
1.85,-63.73,43.76,-69.41,43.76,52.50,0.00,27.82
1.90,-66.10,43.76,-69.41,43.76,45.00,0.00,16.19
